author,comment_count,id,is_kongu_related,is_palladam_related,like_count,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,parent_id,parties_mentioned,platform,reaction_count,region,reply_count,retweet_count,source,text,timestamp,title,type,url,view_count
NewsTamil 24X7,,1lMlC26UBoU,True,,,neutral,0.6108,0.9302,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.246885,திமுக மகளிர் மாநாடு.. விறுவிறுப்பாக தயாராகும் திடல் | Tiruppur | DMKMeeting,post,https://www.youtube.com/watch?v=1lMlC26UBoU,3554
Gem Television,,2Vvzn99Nk48,True,,,neutral,0.8808,1.8605,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:26.246885,NDA கூட்டணி இடங்கள் முடிவு ? அதிமுக - 165 பாஜக - 31 | ADMK Candidate List | TN Election 2026 | EPS,post,https://www.youtube.com/watch?v=2Vvzn99Nk48,19120
News7 Tamil,,60pho4WjuvU,True,,,neutral,0.6672,1.3953,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.246885,Seeman questions DMK and AIADMK at his election campaign at Tirupur | News7 Tamil,post,https://www.youtube.com/watch?v=60pho4WjuvU,1023
NewsTamil 24X7,,64gGl45a_Uw,,True,,,,,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:37:19.339366,குத்தாட்டம் போட்ட பெண்கள் - குலுங்கிய திருப்பூர்.. களைகட்டிய திமுக மாநாடு | Dmk Manadu,post,https://www.youtube.com/watch?v=64gGl45a_Uw,24608
PuthiyathalaimuraiTV,,28-dBT4V4FI,True,,,neutral,0.6686,1.3953,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.246885,திருப்பூரை சிங்கப்பூராக மாற்றுவதே எங்கள் நோக்கம்: செங்கோட்டையன் | #ADMK #BJP #Tiruppur,post,https://www.youtube.com/watch?v=28-dBT4V4FI,2107
Sathiyam News,,i_YmaC4LgvE,True,,,neutral,0.8122,1.8605,,"dmk,admk",youtube,,salem,,,scrapy_youtube,,2026-03-30T21:58:26.246885,🔴LIVE: திருப்பூர் திமுக மாநாடு - CM ஸ்டாலின் SPEECH |  M.K.Stalin |DMK Tirupattur,post,https://www.youtube.com/watch?v=i_YmaC4LgvE,9868
Gem Television,,dQT4M-JwQW4,True,,,neutral,0.8748,2.3256,,"dmk,admk",youtube,,tamil_nadu_general,,,scrapy_youtube,,2026-03-30T21:58:26.245884,AIADMK Candidate list | EPS | அதிமுகவின் வேட்பாளர் பட்டியல் வெளியீடு | Tamilnadu elections 2026,post,https://www.youtube.com/watch?v=dQT4M-JwQW4,6436
King 360,,b6vxZ79k1gw,True,,,neutral,0.8173,0.9302,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:26.245884,திருப்பூர் தெற்கு தொகுதியின் உத்தேச வேட்பாளர் யார் ? | Tiruppur  South Constituency Candidate List,post,https://www.youtube.com/watch?v=b6vxZ79k1gw,3907
PuthiyathalaimuraiTV,,zGsM9MkzApw,,True,,,,,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:37:22.371129,#BIGBREAKING | அதிமுக வேட்பாளர் பட்டியல் வெளியீடு | ADMK | EPS | TN Election 2026,post,https://www.youtube.com/watch?v=zGsM9MkzApw,20070
IBC Tamil,,SEfAo05UMzg,,True,,,,,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:37:22.372126,"சீனியர்களுக்கு கல்தா..! ஜூனியர்களுக்கு டிக்..! Tirupur-ல் யார் யாருக்கு சீட்? DMK, ADMK | IBC Tamil",post,https://www.youtube.com/watch?v=SEfAo05UMzg,45982
NewsTamil 24X7,,cfy3YDJeK14,True,,,neutral,0.7767,1.3953,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:26.243890,#BREAKING || Aiadmk Candidate List | தொகுதி மாறிய Ex. அமைச்சர்கள் யார்? - மிகப்பெரிய திருப்பம்,post,https://www.youtube.com/watch?v=cfy3YDJeK14,23654
IBC Tamil,,1n_Rm3KFo6k,True,,,neutral,0.6345,1.3953,,"dmk,admk,tvk",youtube,,salem,,,scrapy_youtube,,2026-03-30T21:58:23.482591,கொங்கு வெள்ளாள கவுண்டர் ஓட்டு எடப்பாடியாருக்கு விழாது..! | Thaniyarasu Interview | EPS | ADMK Issue,post,https://www.youtube.com/watch?v=1n_Rm3KFo6k,1789
Sun News,,XJMjHYT6jdc,False,,,positive,0.4613,0.0,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.482591,பெரிதும் எதிர்பார்க்கப்பட்ட மேற்கு மண்டலத்தில் திமுக அபார வெற்றி | kongu belt,post,https://www.youtube.com/watch?v=XJMjHYT6jdc,41935
Neerthirai,,SBdUCP_YZvg,False,,,neutral,0.669,0.4651,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.482591,தனியார் மருத்துவமனைகளில் oxygen supply  நிறுத்தம் Velmurugan TVK | Kongu ER Eswaran,post,https://www.youtube.com/watch?v=SBdUCP_YZvg,2895
Sun News,,XdKgMTRF0F8,False,,,neutral,0.6286,0.0,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,TN Election 2026 | தவெக ரகசியத்தை அம்பலப்படுத்திய கொங்கு ஈஸ்வரன் | Kongu Eswaran Interview | BJP,post,https://www.youtube.com/watch?v=XdKgMTRF0F8,19008
PuthiyathalaimuraiTV,,GZuXXmGWjus,True,,,neutral,0.745,0.9302,,tvk,youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:23.481317,🔴LIVE | TVK Vijay Erode Meeting | TVK Vijay Campaign | Vijay Speech | Vijay Speech | | Sengottaiyan,post,https://www.youtube.com/watch?v=GZuXXmGWjus,171417
NewsTamil 24X7,,RvDYyorr8OE,True,,,neutral,0.7282,0.9302,,tvk,youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:23.481317,🔴LIVE : கொங்கு மண்ணில் விஜய்..களத்தில் செங்கோட்டையன்| TVK meeting Erode | K.A.Sengottaiyan,post,https://www.youtube.com/watch?v=RvDYyorr8OE,20374
NewsTamil 24X7,,a63yg9YxJ1A,True,,,neutral,0.7135,1.3953,,tvk,youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:23.481317,TVK Erode vijay meeting | கொங்கு மண்ணில் விஜய் | TVKVijay | TVKVijayCampaign,post,https://www.youtube.com/watch?v=a63yg9YxJ1A,3036
Jana naayagan,,J5TkDD5R4WI,False,,,neutral,0.5906,0.9302,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,Unga vijay maanadu song | maanadu 2.0 son#tvk #tvksong ,post,https://www.youtube.com/watch?v=J5TkDD5R4WI,681114
Cineulagam,,_G7xNC1KBS8,False,,,positive,0.6242,0.4651,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,"Nakkalites Prasanna, who played Rajini, AK, Vijay in Kongu Slang, has made a splash 🔥 Gods & Sold...",post,https://www.youtube.com/watch?v=_G7xNC1KBS8,6525
IBC Tamil,,1QkItpY3Zog,False,,,negative,0.4951,0.9302,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,TVK கொங்குமண்டலத்தில் தாக்கத்தை ஏற்படுத்துமா..? |E.R.Eswaran | TVK Vijay | Sengottaiyan | KMDK | IBC,post,https://www.youtube.com/watch?v=1QkItpY3Zog,10546
NewsTamil 24X7,,NQ5lC5teNOk,False,,,neutral,0.7348,1.8605,,"admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,NewsTamil Kazhugu | கொங்கு மண்டலத்தில் அதிமுகவின் அடுத்த விக்கெட் | TVK Vijay | Sengottaiyan | EPS,post,https://www.youtube.com/watch?v=NQ5lC5teNOk,32000
Tamilnadu Now,,l0aEmOM-tYM,True,,,neutral,0.5505,1.3953,,"dmk,admk,tvk",youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:23.481317,செங்கோட்டையனுக்கு செக் வைத்த எடப்பாடி! | Election Now 2026  | Gobichettipalayam | TVK |ADMK,post,https://www.youtube.com/watch?v=l0aEmOM-tYM,14888
Jaya Plus,,RNjka4o0ZWk,False,,,neutral,0.7098,0.0,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,டிடிவி தினகரனுடன் தமிழ்நாடு கொங்கு இளைஞர் பேரவை தலைவர் தனியரசு சந்திப்பு |Thaniyarasu |TTVDhinakaran,post,https://www.youtube.com/watch?v=RNjka4o0ZWk,3833
Thanthi TV,,4Ojay_XFtXA,True,,,neutral,0.6521,0.9302,,tvk,youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:23.481317,🔴LIVE :TVK Vijay Erode Meeting | tvk vijay Campaign | sengottaiyan | N. Anand | Aadhav Arjuna,post,https://www.youtube.com/watch?v=4Ojay_XFtXA,32423
Polimer News,,auGsO_yFRqU,False,,,neutral,0.9091,1.3953,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.480287,🔴LIVE : TVK Vijay | கொங்கு மண்டலத்தில் உங்கள் விஜய் | தொடர் நேரலை,post,https://www.youtube.com/watch?v=auGsO_yFRqU,1075809
NewsTamil 24X7,,Dy-JQ7Y4WDg,False,,,neutral,0.908,0.9302,,tvk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.480287,🔴LIVE: தவெக வேட்பாளர்கள் அறிவிப்பு  | TVK Election Candidate List | TVK Vijay | Election 2026,post,https://www.youtube.com/watch?v=Dy-JQ7Y4WDg,127445
SonyMusicSouthVEVO,,4fsBI2SJMiE,False,,,neutral,0.5375,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.804176,Alangu - Kongu Song Video | Gunanidhi | Ajesh,post,https://www.youtube.com/watch?v=4fsBI2SJMiE,12415
NewsTamil 24X7,,Zxwr3-A3qA8,False,,,neutral,0.8491,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,#BREAKING || KMDK Candidates Announcement | Kongu Eswaran | KMDK Candidates Announcement!,post,https://www.youtube.com/watch?v=Zxwr3-A3qA8,2948
Kongu Dheeran Manamalai,,j-817GF_AhU,False,,,neutral,0.4665,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,Why Only the Kongu Community? | Namma Kongu Series | Kongu Dheeran Manamalai,post,https://www.youtube.com/watch?v=j-817GF_AhU,321
Zee Telugu,,F9SqUVLO6F4,False,,,neutral,0.4117,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,KONGU BANGARAM | బంగారిని ఇంట్లోంచి పంపించేద్దాం!,post,https://www.youtube.com/watch?v=F9SqUVLO6F4,4958
Sudar - Tamil History,,99rM314N1yU,False,,,neutral,0.5154,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,History of Kongu Gounders in Tamil,post,https://www.youtube.com/watch?v=99rM314N1yU,1012
Glance Media,,qRcwrYwLtRY,False,,,neutral,0.6743,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,Grand Kongu Wedding | Vignesh & Veena | Wedding Film | #konguwedding #weddingfilm #coimbatorewedding,post,https://www.youtube.com/watch?v=qRcwrYwLtRY,73301
Zee Telugu,,flL_bvhxcW0,False,,,neutral,0.8081,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,Kongu Bangaram Promo - 28 Mar 2026 - Mon to Sat 3:30 PM - Zee Telugu,post,https://www.youtube.com/watch?v=flL_bvhxcW0,12997
Sudar - Tamil History,,sdopnGJZ06c,False,,,neutral,0.6433,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.799477,கொங்கு கவுண்டர்களின் சாம்ராஜ்யம் | Business Empires Of Kongu People In Tamil,post,https://www.youtube.com/watch?v=sdopnGJZ06c,5388
The Debate,,Y0NNPX0xMCM,False,,,neutral,0.5389,0.9302,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,கோவை தெற்கில் செந்தில் பாலாஜி! திமுகவின் கொங்கு வியூகம் பலிக்குமா | The Debate | Kongu | DMK Vs ADMK,post,https://www.youtube.com/watch?v=Y0NNPX0xMCM,14761
Zee Telugu,,Up5SdzeWzO4,False,,,neutral,0.5231,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,KONGU BANGARAM | జాన్సీ స్వయంగా వంట చేస్తోంది,post,https://www.youtube.com/watch?v=Up5SdzeWzO4,7643
Aganivi Kitchen,,cAJIA04BvhY,True,,,neutral,0.461,0.0,,,youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:21.798480,cute baby kongu tamil slang || coimbatore kongu baby,post,https://www.youtube.com/watch?v=cAJIA04BvhY,185749
Zee Telugu,,U7f5U_Y_0VY,False,,,neutral,0.8035,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,Kongu Bangaram Promo - 30 Mar 2026 - Mon to Sat 3:30 PM - Zee Telugu,post,https://www.youtube.com/watch?v=U7f5U_Y_0VY,6495
Reflect Voice,,_4J6lRkGzRA,False,,,neutral,0.5035,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,Kongu Nadu | Kantharaj | Kongu Nadu,post,https://www.youtube.com/watch?v=_4J6lRkGzRA,444376
Woke Side Stories,,vU5mxSkSOeE,False,,,neutral,0.7247,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,Reality of Kongu Region | Woke Side Stories | EP 6,post,https://www.youtube.com/watch?v=vU5mxSkSOeE,19175
Oneindia Tamil,,xHEpwIbJHmM,False,,,neutral,0.5461,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,History of Kongunadu l What was the contribution of the counters to the prosperity of Kongunadu? ...,post,https://www.youtube.com/watch?v=xHEpwIbJHmM,21836
kalingarayar News,,cX8-2HVinh0,False,,,neutral,0.5965,0.0,,,youtube,,dindigul,,,scrapy_youtube,,2026-03-30T21:58:21.798480,palani baba speech about gounder  கொங்கு வேளாளக் கவுண்டர் பற்றி பழனிபாபா  #kongu #Vellalar #gounder,post,https://www.youtube.com/watch?v=cX8-2HVinh0,25801
Zee Telugu,,ioUjKuKDx_M,False,,,neutral,0.4632,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,KONGU BANGARAM | రవికి భోజనం విషయంలో కుటుంబ సభ్యుల వాగ్వాదం,post,https://www.youtube.com/watch?v=ioUjKuKDx_M,6464
YouTube_kvg,,71VYdoBKciU,False,,,negative,0.5121,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,kongu velalar gounder political power#kongu_mass,post,https://www.youtube.com/watch?v=71VYdoBKciU,31599
KONGUstatus official,,ok_BrwJPPH8,False,,,neutral,0.457,0.0,,,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.798480,kongu vellalar gounder 💚❤️ WhatsApp status video  #konguvellalagounder #kongustatus,post,https://www.youtube.com/watch?v=ok_BrwJPPH8,158500
NewsTamil 24X7,,pJmf3AM-T4w,False,,,neutral,0.6378,1.3953,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.696889,🔴LIVE: TVK Vijay | திடீரென உள்ளே வந்த கார்..ஆடிப்போன விஜய்..  | TVK,post,https://www.youtube.com/watch?v=pJmf3AM-T4w,23385
News18 Tamil Nadu,,gMaO36iSB0s,False,,,neutral,0.8974,0.9302,,"dmk,admk,tvk",youtube,,tamil_nadu_general,,,scrapy_youtube,,2026-03-30T21:58:20.696889,🔴LIVE: TVK Vijay Candidate List 2026 | தவெக வேட்பாளர் பட்டியல்.. எந்த தொகுதியில் யார் யார்?,post,https://www.youtube.com/watch?v=gMaO36iSB0s,41797
NewsTamil 24X7,,j3HbcJWb55M,False,,,neutral,0.3956,0.9302,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.696889,Tvk Vijay Candidate List | Vijay Speech | Vijay drops a big point against Udhayanidhi,post,https://www.youtube.com/watch?v=j3HbcJWb55M,59533
Vikatan TV and Vikatan News,,FLt-8SwD5Ds,True,,,neutral,0.8945,1.3953,,"dmk,admk,tvk",youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:20.696889,"Coimbatore மாவட்ட தொகுதிகள் : DMK, ADMK, NTK, TVK யார் யாருக்கு சீட்டு? | TN Election 360 updates",post,https://www.youtube.com/watch?v=FLt-8SwD5Ds,103289
Thanthi TV,,ZVK-5hl0Ke8,False,,,neutral,0.719,1.3953,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.696889,Vijay | TVK Candidate List |``திருச்சி கிழக்கில் C. ஜோசப் விஜய் போட்டி'' - தமிழகமே எதிர்பாரா முடிவு,post,https://www.youtube.com/watch?v=ZVK-5hl0Ke8,38396
Sathiyam News,,R3ODImpeAH8,False,,,neutral,0.8312,0.9302,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.696889,TVK Vijay Manifesto | TVK Manifesto Highlights | 2026 தமிழ்நாடே அதிரும் விஜயின் டாப் 10 அறிவிப்புகள்,post,https://www.youtube.com/watch?v=R3ODImpeAH8,68626
NewsTamil 24X7,,LjZmJdFF36k,True,,,neutral,0.8594,0.4651,,"dmk,admk,tvk",youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:20.696889,DMK Candidate List DATA.! Senthil Balaji in Coimbatore South.! | DMK Candidate Full List 2026,post,https://www.youtube.com/watch?v=LjZmJdFF36k,77745
NewsTamil 24X7,,-PfMhsT4Sg8,True,,,neutral,0.475,0.4651,,"dmk,admk,tvk",youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:20.696889,கோவையில் கால் வைத்த DMK வேட்பாளர்.. ஏர்போர்டே அதிர உற்சாக வரவேற்பு | DMK Coimbatore Airport,post,https://www.youtube.com/watch?v=-PfMhsT4Sg8,240061
Southern Herald,,y1jliEWip0g,True,,,neutral,0.549,0.9302,,"dmk,admk,tvk",youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:20.696889,TVK Vignesh Mass Speech: DMK Scam & Coimbatore Betrayal Exposed | TVK,post,https://www.youtube.com/watch?v=y1jliEWip0g,181232
NewsTamil 24X7,,OritmBoB8Kw,False,,,neutral,0.5348,0.9302,,"dmk,admk,tvk",youtube,,karur,,,scrapy_youtube,,2026-03-30T21:58:20.696889,Vijay's face changed when Karur candidate's name was announced...!! Tvk Vijay Candidate List | Vi...,post,https://www.youtube.com/watch?v=OritmBoB8Kw,108220
NewsTamil 24X7,,s193F_po134,False,,,neutral,0.7388,1.3953,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.696889,🔴LIVE: TVK Vijay | தவெக அஜிதாவிற்கு சீட்?..சீனையே மாற்றிய விஜய்    | TVK,post,https://www.youtube.com/watch?v=s193F_po134,231445
Chanakyaa,,cv8fWZ-WWEE,False,,,neutral,0.9011,0.9302,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.696889,🔴LIVE: TVK Candidate List; Vijay அதிரடி அறிவிப்பு | TN Election 2026,post,https://www.youtube.com/watch?v=cv8fWZ-WWEE,6762
NewsTamil 24X7,,fGkAL53nrOs,True,,,neutral,0.4911,0.9302,,"dmk,admk,tvk",youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:20.695892,The Tvk Vijay Candidate set foot in Coimbatore.. The next moment the airport was shaken..! Tvk Vi...,post,https://www.youtube.com/watch?v=fGkAL53nrOs,179657
Thanthi TV,,KNp0M2ZPCrE,False,,,neutral,0.7205,0.9302,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.695892,TVK | DMK | திமுக vs தவெக - கோவை ஏர்போர்ட்டில் திடீர் பரபரப்பு,post,https://www.youtube.com/watch?v=KNp0M2ZPCrE,100071
Times Now Seithi,,5oEh7d1A3Iw,True,,,neutral,0.8762,0.0,,"dmk,admk,tvk",youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:20.695892,Do you know who is the Thaweka candidate Senthil Kumar who is contesting from Coimbatore South co...,post,https://www.youtube.com/watch?v=5oEh7d1A3Iw,1304
Thanthi TV,,8sSsFN4yjUc,False,,,neutral,0.6637,1.3953,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.695892,Vijay | TVK Candidate List |வேட்பாளர்களை அறிவித்த சில நிமிடங்களில் விஜய்க்கு காத்திருந்த அதிர்ச்சி,post,https://www.youtube.com/watch?v=8sSsFN4yjUc,125978
Vikatan TV,,33GeCl8tOKA,False,,,neutral,0.8664,0.9302,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.695892,TVK Candidate List | தமிழக வெற்றிக் கழகம் வேட்பாளர்கள் பட்டியல் | விஜய் | Vikatan,post,https://www.youtube.com/watch?v=33GeCl8tOKA,81192
CNBC-TV18,,4ZvQEXCFmaw,False,,,neutral,0.8399,0.9302,,"dmk,admk,tvk",youtube,,tamil_nadu_general,,,scrapy_youtube,,2026-03-30T21:58:20.695892,TVK Vijay Speech LIVE | Tamil Nadu Elections | தவெக வேட்பாளர்கள் பட்டியல் வெளியீடு | N18L,post,https://www.youtube.com/watch?v=4ZvQEXCFmaw,64039
Sathiyam News,,qNhGKhypMqA,False,,,neutral,0.8176,0.4651,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.695892,#breaking || DMK CANDIDATE LIST 2026 | 164 திமுக வேட்பாளர் பட்டியல் - அதிரகாரப்பூர்வ அறிவிப்பு,post,https://www.youtube.com/watch?v=qNhGKhypMqA,260315
Jackie TVK JackieTvk · 18h,,2038457370830110848,False,,,negative,0.8664,1.3953,,"dmk,admk,tvk",twitter,,unknown,,,scrapy_twitter_auth,This is the reality EPS can't win. Many of the common people didn't see EPS as potential candidate.. ADMK lost its perception..  KONGU  only  won't give You CM seat..,2026-03-30T21:58:59.046534,,post,https://twitter.com/JackieTvk/status/2038457370830110848,
dravida sishu dravidasishu · 18h,,2038464233977917650,True,,,negative,0.8931,1.3953,,"dmk,admk",twitter,,salem,,,scrapy_twitter_auth,I didn’t say that. I predicted 35-39% for  Admk  alliance. Edappadi azhugachi in the last minute created some stupid sympathy in  Kongu    My predictions for  Admk  in 2016 and 2024 were spot on and actually over estimated them in 2019.,2026-03-30T22:00:04.316895,,post,https://twitter.com/dravidasishu/status/2038464233977917650,
Ravi Bala RavigBala · 17h,,2038473109003743341,False,,,negative,0.7265,0.9302,,"dmk,admk",twitter,,unknown,,,scrapy_twitter_auth,What about  admk  ? Entire  kongu  and south is in risk . Edmk will be 45 followed by pmk 10 seats that's it,2026-03-30T22:00:04.315362,,post,https://twitter.com/RavigBala/status/2038473109003743341,
S Harinath Harinath1961 · 17h,,2038479728135577787,False,,,neutral,0.5917,1.3953,,"dmk,admk,tvk",twitter,,chennai,,,scrapy_twitter_auth,"Seat wise my guess from various reports. Chennai reg DMK+ 29 ADMK+8, DELTA DMK+ 30 ADMK+ 7,  KONGU  DMK+ 18 ADMK+ 30, SOUTH DMK+ 24 ADMK+ 34, TONDAI DMK+ 24 ADMK+ 30.  TVK +NTK may win 10 to 12 out of the above. So DMK+ maybe just make it or fall short by 2 or 3 seats.",2026-03-30T21:58:59.045521,,post,https://twitter.com/Harinath1961/status/2038479728135577787,
Jambukes jambukes · 13h pa.ranjith beemji · Mar 29,,2038533552263004576,False,,,neutral,0.4569,0.0,,"dmk,admk",twitter,,unknown,,,scrapy_twitter_auth,"He has clearly told that he is extending support only in this constituency.   Ennathukku da ipdi azhuvaringa   Kongu  jaathi katchi, karunas jaathi katchi nu irukkarathellam kannuku theriyatha எளிய மக்கள் அரசியல் அதிகாரம் பெற வேண்டுமென்பதற்காகவும்,அடித்தள மக்களின் முன்னேற்றத்திற்காகவும் தம் இறுதிக் காலம் வரை  பணியாற்றி வந்தவர் அண்ணன் ஆம்ஸ்ட்ராங்.   கடந்த 2024 ஆம் ஆண்டு அவர் படுகொலை செய்யப்பட்டதை தொடர்ந்து, அவரின் அரசியல் பணியை தொடர்ந்து முன்னெடுக்க  தமிழ் மாநில பகுஜன்",2026-03-30T22:00:04.310855,,post,https://twitter.com/jambukes/status/2038533552263004576,
Heisenberg suresh_lm · 12h,,2038542718084022567,False,,,positive,0.3627,1.3953,,"dmk,admk,tvk",twitter,,unknown,,,scrapy_twitter_auth,Social media la tweet panra mukkavasi admk supporters from  kongu  region only .. engada matha area supporters.. all are anti-admk & section of admk votes will move to  tvk  ..big advantage for dmk,2026-03-30T21:58:59.044531,,post,https://twitter.com/suresh_lm/status/2038542718084022567,
Heisenberg suresh_lm · 11h,,2038557364220310005,True,,,negative,0.3701,1.3953,,"dmk,admk,tvk",twitter,,coimbatore,,,scrapy_twitter_auth,"Ha ha .like tvk cutting  admk  votes in  kongu  region .. gobi, Kovai, Mettupalayam laiyum thaan tvk ku kootam.. Kootam laan vote-a maaraathu theriyaama oru legacy katchikku support panra",2026-03-30T22:00:04.305306,,post,https://twitter.com/suresh_lm/status/2038557364220310005,
𓃰ᎢᏙᏦ メ 𓆩Ᏼᴀʟᴀ𓆪 𓃰 TvkSouthWing · 12h,,2038549018721284269,False,,,neutral,0.5653,1.3953,,"dmk,admk,tvk",twitter,,chennai,,,scrapy_twitter_auth,Kongu  - ADMK strong   Chennai - DMK Strong   Tamilnadu All area -  #TVK  Strong,2026-03-30T21:58:59.044531,,post,https://twitter.com/TvkSouthWing/status/2038549018721284269,
Heisenberg suresh_lm · 11h,,2038565321548898642,False,,,negative,0.3966,1.3953,,"dmk,admk",twitter,,unknown,,,scrapy_twitter_auth,"in social media  kongu  area la irunthu thaan 80%  ADMK  ku support panraan.. idhula irunthu enna theriyuthu north, south,east, central area all against EPS..",2026-03-30T22:00:04.304290,,post,https://twitter.com/suresh_lm/status/2038565321548898642,
Heisenberg suresh_lm · 11h,,2038567126089572365,False,,,negative,0.713,1.3953,,"dmk,admk",twitter,,unknown,,,scrapy_twitter_auth,"Lol.. south against EPS even if AMMK joins and that too he got more seats at constituency where TTV is weak.. PMK-ADMK lost majority of seats lost time in north arcot/south arcot, only areas close to  kongu  they won..",2026-03-30T22:00:04.302769,,post,https://twitter.com/suresh_lm/status/2038567126089572365,
Mr Kongu MrKonguverse · 11h Kasturi KasthuriShankar · 11h,,2038569775815872628,False,,,negative,0.9044,0.9302,,"dmk,admk",twitter,,tamil_nadu_general,,,scrapy_twitter_auth,"What a load of crap kasturi ! ADMK has Gounders , DMK has Muslim votes to propel them to victory in tight races.  For BJP, Brahmins in Tamil Nadu  have been the most steadfast  , reliable voter bloc . They are the caralyst for converting and consolidating Hindutva supporters across other communities. Losing",2026-03-30T22:00:04.301753,,post,https://twitter.com/MrKonguverse/status/2038569775815872628,
Mr Kongu MrKonguverse · 9h Vasanth  gully_point · 17h,,2038596298979545395,False,,,positive,0.6107,0.9302,,"dmk,admk",twitter,,unknown,,,scrapy_twitter_auth,There’s always a sense of balance across all fronts whenever  ADMK  takes the lead. That's when true governance happens. First in my bloodline to hear someone say Jai Bhim and NDA in a single sentence. x.com/pttvnewsx/stat…,2026-03-30T22:00:04.301244,,post,https://twitter.com/MrKonguverse/status/2038596298979545395,
